step,epoch,train_cnt,avg_reward,avg_q,epsilon,time
10000,0,10000,1.34069400631,0.619553644219,0.01,793.132482052
20000,0,20000,1.41761363636,0.379021827688,0.01,1429.51350498
30000,0,30000,1.50264550265,0.298408061163,0.01,2065.12341404
40000,0,40000,1.57213930348,0.257996539746,0.01,2709.83353591
50000,1,50000,1.63488372093,0.23434128951,0.01,3352.72764993
60000,1,60000,1.79411764706,0.146432474808,0.01,4011.21637797
70000,1,70000,2.19672131148,0.146820334517,0.01,4635.13540697
80000,1,80000,2.17204301075,0.14725727416,0.01,5260.66809893
90000,1,90000,2.09677419355,0.14761483895,0.01,5897.36037993
100000,2,100000,2.11038961039,0.147938467644,0.01,6520.03843403
110000,2,110000,1.71875,0.14612600904,0.01,7176.57236791
120000,2,120000,2.0,0.148512180941,0.01,7800.21517611
130000,2,130000,2.13829787234,0.150666585055,0.01,8431.67712903
140000,2,140000,2.140625,0.152838937223,0.01,9056.22471595
150000,3,150000,2.17610062893,0.154450131991,0.01,9671.7022109
160000,3,160000,1.76470588235,0.173543475954,0.01,10323.691155
170000,3,170000,1.95454545455,0.176960636637,0.01,10944.1936541
180000,3,180000,2.01,0.177679336984,0.01,11568.978673
190000,3,190000,2.12213740458,0.177133768464,0.01,12195.50122
200000,4,200000,2.15662650602,0.176977556769,0.01,12827.011929
210000,4,210000,2.0,0.178876747894,0.01,13486.232286
220000,4,220000,2.12328767123,0.178101738835,0.01,14122.8896279
230000,4,230000,2.10280373832,0.177306860096,0.01,14755.600111
240000,4,240000,2.1048951049,0.177504100089,0.01,15380.7606461
250000,5,250000,2.27683615819,0.178144965563,0.01,16001.400882
260000,5,260000,2.36111111111,0.176273190826,0.01,16662.2809801
270000,5,270000,2.38356164384,0.179435288449,0.01,17280.7246561
280000,5,280000,2.30434782609,0.182564765305,0.01,17915.9889359
290000,5,290000,2.35526315789,0.184072237033,0.01,18553.8718121
300000,6,300000,2.38709677419,0.183426795599,0.01,19171.2122929
310000,6,310000,2.74285714286,0.186783249497,0.01,19835.5372889
320000,6,320000,2.65277777778,0.183834839586,0.01,20451.1208839
330000,6,330000,2.90566037736,0.181990109279,0.01,21080.8361251
340000,6,340000,3.14814814815,0.177282792388,0.01,21707.93642
350000,7,350000,3.31481481481,0.17529461178,0.01,22321.2714529
360000,7,360000,3.21212121212,0.170977090312,0.01,22973.619314
370000,7,370000,3.33333333333,0.169145723976,0.01,23596.1500251
380000,7,380000,3.0618556701,0.167997552079,0.01,24226.497498
390000,7,390000,3.0223880597,0.169435499438,0.01,24846.5941801
400000,8,400000,2.87425149701,0.168308966016,0.01,25474.0907609
410000,8,410000,2.08823529412,0.149729893146,0.01,26125.4647369
420000,8,420000,2.02777777778,0.158200853146,0.01,26749.276015
430000,8,430000,2.21495327103,0.165292609319,0.01,27366.3012431
440000,8,440000,2.37313432836,0.165593310754,0.01,27999.3621211
450000,9,450000,2.69565217391,0.172537975191,0.01,28613.146106
460000,9,460000,4.40740740741,0.194412632948,0.01,29263.2792461
470000,9,470000,4.54166666667,0.190838734997,0.01,29894.319875
480000,9,480000,4.46666666667,0.193236236528,0.01,30515.1021361
490000,9,490000,4.53125,0.18837003214,0.01,31143.5935459
500000,10,500000,4.54310344828,0.186142821474,0.01,31761.3706181
510000,10,510000,7.05263157895,0.189621054171,0.01,32409.6923831
520000,10,520000,6.04651162791,0.195608419066,0.01,33042.929548
530000,10,530000,5.50793650794,0.192124534622,0.01,33672.0618801
540000,10,540000,5.73863636364,0.198711751279,0.01,34308.415807
550000,11,550000,5.79090909091,0.199053450184,0.01,34935.542804
560000,11,560000,4.86206896552,0.219067219037,0.01,35587.7968571
570000,11,570000,4.93220338983,0.228174916953,0.01,36207.73507
580000,11,580000,4.41584158416,0.239694726225,0.01,36833.8698981
590000,11,590000,4.0,0.250095184955,0.01,37466.9085481
600000,12,600000,3.73195876289,0.254317095507,0.01,38083.425457
610000,12,610000,2.84782608696,0.259609222552,0.01,38733.810252
620000,12,620000,2.73684210526,0.266775735041,0.01,39355.5390489
630000,12,630000,2.72027972028,0.269421094959,0.01,39987.84761
640000,12,640000,2.78421052632,0.272974719039,0.01,40610.499856
650000,13,650000,2.84680851064,0.274905981221,0.01,41238.282156
660000,13,660000,2.89361702128,0.281037071007,0.01,41892.2779791
670000,13,670000,2.8125,0.281469418985,0.01,42515.5067451
680000,13,680000,2.91549295775,0.284531417652,0.01,43139.7029271
690000,13,690000,2.96808510638,0.285982046033,0.01,43759.480171
700000,14,700000,2.96581196581,0.283951672023,0.01,44368.1898551
710000,14,710000,3.2,0.282653033366,0.01,45009.100034
720000,14,720000,3.20879120879,0.277142052983,0.01,45635.9866991
730000,14,730000,3.24444444444,0.271044389812,0.01,46258.8328819
740000,14,740000,3.36931818182,0.269860289945,0.01,46882.5370879
750000,15,750000,3.50462962963,0.271797813425,0.01,47493.746875
760000,15,760000,3.57142857143,0.270718012944,0.01,48148.8487129
770000,15,770000,3.67469879518,0.267237277988,0.01,48778.970829
780000,15,780000,3.62204724409,0.271348707193,0.01,49406.7421811
790000,15,790000,3.54385964912,0.273295613235,0.01,50044.687963
800000,16,800000,3.59154929577,0.276374151065,0.01,50660.3301721
810000,16,810000,3.54761904762,0.285341129209,0.01,51320.132098
820000,16,820000,4.07594936709,0.282336297179,0.01,51951.5047159
830000,16,830000,4.10256410256,0.280743578202,0.01,52596.625735
840000,16,840000,4.33333333333,0.281916136731,0.01,53238.874912
850000,17,850000,4.42021276596,0.282576182196,0.01,53868.142853
