step,epoch,train_cnt,avg_reward,avg_q,epsilon,time
10000,0,10000,1.3596214511,0.0544667963028,0.01,621.727796078
20000,0,20000,1.42571428571,0.0813004525326,0.01,1164.02399611
30000,0,30000,1.48275862069,0.0904348444988,0.01,1703.8069191
40000,0,40000,1.55665024631,0.0960945931461,0.01,2242.73281097
50000,1,50000,1.57272727273,0.100544757185,0.01,2780.60345697
60000,1,60000,2.0303030303,0.125919899033,0.01,3358.57139897
70000,1,70000,1.875,0.127951723729,0.01,3902.90912294
80000,1,80000,2.11827956989,0.128144702861,0.01,4443.41334605
90000,1,90000,2.109375,0.129303198018,0.01,4980.22321296
100000,2,100000,2.07784431138,0.130557718783,0.01,5536.73716593
110000,2,110000,2.02777777778,0.135888604806,0.01,6112.41449714
120000,2,120000,1.87837837838,0.13686602143,0.01,6657.40315413
130000,2,130000,1.79279279279,0.13859960494,0.01,7202.77601099
140000,2,140000,1.84137931034,0.139464025926,0.01,7743.90855694
150000,3,150000,1.80110497238,0.139827883311,0.01,8280.49060512
160000,3,160000,2.52941176471,0.140150349611,0.01,8851.93183494
170000,3,170000,2.34782608696,0.140120780003,0.01,9390.60823894
180000,3,180000,2.19230769231,0.140102867069,0.01,9942.94818592
190000,3,190000,2.21985815603,0.141041739319,0.01,10482.5719759
200000,4,200000,2.19886363636,0.140802391005,0.01,11036.991344
210000,4,210000,1.97368421053,0.142957975285,0.01,11587.4135921
220000,4,220000,1.92307692308,0.144741568324,0.01,12157.3783159
230000,4,230000,2.12389380531,0.146682600548,0.01,12710.488452
240000,4,240000,2.19205298013,0.148640141055,0.01,13266.4380989
250000,5,250000,2.27513227513,0.149788187784,0.01,13806.5955729
260000,5,260000,2.77777777778,0.15862103848,0.01,14377.7776179
270000,5,270000,2.64,0.159661283918,0.01,14938.996773
280000,5,280000,2.55652173913,0.16013077032,0.01,15493.4980741
290000,5,290000,2.65100671141,0.160305670513,0.01,16052.526474
300000,6,300000,2.66304347826,0.161103289887,0.01,16611.750819
310000,6,310000,2.57894736842,0.168743815376,0.01,17182.691829
320000,6,320000,3.06944444444,0.168294031138,0.01,17741.1008391
330000,6,330000,2.92452830189,0.173659247964,0.01,18284.6264441
340000,6,340000,2.98571428571,0.179600173477,0.01,18828.4341431
350000,7,350000,2.99418604651,0.181773474524,0.01,19367.8728051
360000,7,360000,2.08108108108,0.180102482783,0.01,19948.954972
370000,7,370000,2.38571428571,0.189508154508,0.01,20512.020649
380000,7,380000,2.38095238095,0.184616058838,0.01,21068.9294851
390000,7,390000,2.47101449275,0.183657084422,0.01,21633.197207
400000,8,400000,2.55294117647,0.183321947743,0.01,22189.660279
410000,8,410000,2.59375,0.190965308587,0.01,22762.0540371
420000,8,420000,2.546875,0.186490545717,0.01,23318.6203241
430000,8,430000,2.56989247312,0.183899889971,0.01,23873.693399
440000,8,440000,2.60162601626,0.182941373291,0.01,24428.8789821
450000,9,450000,2.64968152866,0.18842551671,0.01,24983.4457409
460000,9,460000,3.34375,0.241680183978,0.01,25559.1992459
470000,9,470000,3.29411764706,0.243777028832,0.01,26117.24052
480000,9,480000,3.28431372549,0.239633009981,0.01,26670.8299751
490000,9,490000,3.56818181818,0.240695981998,0.01,27204.441896
500000,10,500000,3.82608695652,0.238042106895,0.01,27738.198827
510000,10,510000,5.31818181818,0.228376558144,0.01,28313.151598
520000,10,520000,5.04545454545,0.227206394669,0.01,28847.163547
530000,10,530000,5.52307692308,0.230255229599,0.01,29389.957938
540000,10,540000,5.45744680851,0.240805786929,0.01,29930.5825
550000,11,550000,5.2015503876,0.248296831117,0.01,30466.8667321
560000,11,560000,4.65625,0.281596990287,0.01,31046.5757129
570000,11,570000,4.10810810811,0.304051883729,0.01,31587.811698
580000,11,580000,4.02564102564,0.314227160085,0.01,32131.6301391
590000,11,590000,3.71341463415,0.320941353906,0.01,32664.417604
600000,12,600000,3.55238095238,0.323601276994,0.01,33203.8919311
610000,12,610000,3.04347826087,0.33902303356,0.01,33799.336468
620000,12,620000,2.97849462366,0.341409178633,0.01,34348.183013
630000,12,630000,3.02158273381,0.339984293523,0.01,34910.7316689
640000,12,640000,3.02162162162,0.342042037922,0.01,35450.0643389
650000,13,650000,3.06060606061,0.341776730626,0.01,36009.183888
660000,13,660000,3.08888888889,0.339622364986,0.01,36709.4502311
670000,13,670000,3.18888888889,0.340701063104,0.01,37442.399565
680000,13,680000,3.21481481481,0.342457822441,0.01,38164.6609139
690000,13,690000,3.26815642458,0.345015908994,0.01,38895.867101
700000,14,700000,3.4128440367,0.344513488539,0.01,39623.020884
710000,14,710000,4.18421052632,0.337625347032,0.01,40395.8477781
720000,14,720000,4.14285714286,0.341194462908,0.01,41131.4751639
730000,14,730000,4.06896551724,0.343805894867,0.01,41863.945888
740000,14,740000,3.93710691824,0.342774446729,0.01,42597.5292401
750000,15,750000,3.98984771574,0.341964695884,0.01,43307.5035679
760000,15,760000,3.82051282051,0.341708032446,0.01,44064.877372
770000,15,770000,3.92207792208,0.339174052223,0.01,44796.679311
780000,15,780000,4.26785714286,0.34051599189,0.01,45542.4373519
790000,15,790000,4.44217687075,0.342236930955,0.01,46273.628778
800000,16,800000,4.36559139785,0.343009150973,0.01,47018.8952949
810000,16,810000,4.27027027027,0.332532435247,0.01,47780.88504
820000,16,820000,4.25333333333,0.334399184374,0.01,48487.7642031
830000,16,830000,4.72897196262,0.335800975239,0.01,49216.02861
840000,16,840000,5.04347826087,0.337006179886,0.01,49931.725564
850000,17,850000,5.14117647059,0.33624296423,0.01,50642.5390811
