step,epoch,train_cnt,avg_reward,avg_q,epsilon,time
870000,17,870000,26.1739130435,0.481494871311,0.01,70935.106719
880000,17,880000,24.6666666667,0.486764375617,0.01,71512.5417831
890000,17,890000,24.875,0.489629851307,0.01,72084.438411
900000,18,900000,25.724137931,0.489384011644,0.01,72654.689358
910000,18,910000,26.3333333333,0.519688703179,0.01,73266.4242032
920000,18,920000,27.2916666667,0.515609262726,0.01,73845.4375091
930000,18,930000,27.7142857143,0.510672324029,0.01,74421.6395302
940000,18,940000,26.3333333333,0.512397541052,0.01,75001.3542061
950000,19,950000,27.0169491525,0.511187940254,0.01,75577.0729721
960000,19,960000,28.3636363636,0.515512251859,0.01,76192.228792
970000,19,970000,28.4347826087,0.513824147079,0.01,76797.7054191
980000,19,980000,26.9428571429,0.518540756514,0.01,77437.021704
990000,19,990000,27.5957446809,0.520650918835,0.01,78126.1142671
1000000,20,1000000,27.6101694915,0.520606491621,0.01,78841.138531
1010000,20,1010000,31.3,0.506572985389,0.01,79532.1053472
1020000,20,1020000,29.2857142857,0.518223740782,0.01,80181.421433
1030000,20,1030000,29.5757575758,0.515639037539,0.01,80929.6421151
1040000,20,1040000,29.7045454545,0.517786204904,0.01,81569.124913
1050000,21,1050000,29.3928571429,0.51958564601,0.01,82295.581624
1060000,21,1060000,36.4444444444,0.507466513218,0.01,83101.891752
