step,epoch,train_cnt,avg_reward,avg_q,epsilon,time
400000,8,400000,3.05202312139,0.214001601616,0.01,30702.9504828
410000,8,410000,2.2972972973,0.205997147845,0.01,31505.378479
420000,8,420000,2.07894736842,0.201840459011,0.01,32278.0979419
430000,8,430000,2.35135135135,0.202310268876,0.01,33034.360496
440000,8,440000,2.35915492958,0.197123972497,0.01,33806.5977499
450000,9,450000,2.40449438202,0.197782795541,0.01,34569.52863
460000,9,460000,2.83783783784,0.205711702227,0.01,35369.1683629
470000,9,470000,3.17333333333,0.201509247888,0.01,36132.6689029
480000,9,480000,3.11764705882,0.20547253505,0.01,36886.534415
490000,9,490000,3.17391304348,0.204262722955,0.01,37646.4039381
500000,10,500000,3.10837438424,0.202395485983,0.01,38406.8028169
510000,10,510000,3.0,0.206449326412,0.01,39197.9011829
520000,10,520000,3.45238095238,0.208736941744,0.01,39959.5952559
530000,10,530000,3.76991150442,0.196192620237,0.01,40716.0985649
540000,10,540000,4.18881118881,0.194011198193,0.01,41497.3931739
550000,11,550000,4.51162790698,0.194089512335,0.01,42262.0496731
560000,11,560000,6.78260869565,0.157053363191,0.01,43049.7696071
570000,11,570000,6.74509803922,0.177557889699,0.01,43807.6167569
580000,11,580000,6.94594594595,0.171744054805,0.01,44569.799612
590000,11,590000,6.40186915888,0.177564176646,0.01,45328.201308
600000,12,600000,5.75342465753,0.186937970653,0.01,46112.3872519
610000,12,610000,4.44117647059,0.224173412268,0.01,47024.8317981
620000,12,620000,4.15492957746,0.223533516735,0.01,47952.7880099
630000,12,630000,4.12612612613,0.230518086336,0.01,48835.0253639
640000,12,640000,3.96052631579,0.234402343603,0.01,49626.6182001
650000,13,650000,4.00526315789,0.234268254034,0.01,50459.4046941
660000,13,660000,4.41176470588,0.227873765152,0.01,51285.673717
670000,13,670000,4.02666666667,0.244572217379,0.01,52078.504729
680000,13,680000,3.96551724138,0.252017278271,0.01,52834.1365569
690000,13,690000,3.77987421384,0.25693062032,0.01,53613.0284159
700000,14,700000,3.73631840796,0.263897379621,0.01,54380.03847
710000,14,710000,3.85,0.292977316935,0.01,55175.469945
720000,14,720000,4.20779220779,0.292581694156,0.01,55941.878314
730000,14,730000,4.41818181818,0.290566257701,0.01,56728.1432569
740000,14,740000,4.70422535211,0.297815752288,0.01,57503.402885
750000,15,750000,4.76536312849,0.296784462685,0.01,58280.7311001
760000,15,760000,5.90322580645,0.296403549821,0.01,59069.0605719
770000,15,770000,5.39393939394,0.296976404902,0.01,59825.568505
780000,15,780000,5.36363636364,0.296794467293,0.01,60579.2306309
790000,15,790000,5.11678832117,0.299843709934,0.01,61344.653492
800000,16,800000,5.28313253012,0.296860307774,0.01,62112.450623
810000,16,810000,3.8,0.308120757422,0.01,62907.1774659
820000,16,820000,4.03896103896,0.314224847672,0.01,63666.3497739
830000,16,830000,4.3119266055,0.310606535084,0.01,64420.716243
840000,16,840000,4.77142857143,0.316172450494,0.01,65202.591964
